Item Number,Date,High Temperature (°F),Color,Done
18,1/18/2022,76.82,Seraphim,
19,1/19/2022,60.8,Sagebrush,
20,1/20/2022,36.32,Shoal,
21,1/21/2022,43.16,Teal,
22,1/22/2022,50.9,Teal,
23,1/23/2022,64.58,Sagebrush,
24,1/24/2022,55.76,Spearmint,
25,1/25/2022,58.1,Spearmint,
26,1/26/2022,49.28,Teal,
27,1/27/2022,51.08,Teal,
28,1/28/2022,55.94,Spearmint,
29,1/29/2022,68.18,Marble Heather,
30,1/30/2022,71.42,Seraphim,
31,1/31/2022,66.74,Marble Heather,
32,2/1/2022,71.06,Seraphim,
33,2/2/2022,56.3,Spearmint,
34,2/3/2022,28.58,Shoal,
35,2/4/2022,33.98,Shoal,
36,2/5/2022,47.48,Teal,
37,2/6/2022,56.3,Spearmint,
38,2/7/2022,58.1,Spearmint,
39,2/8/2022,66.74,Marble Heather,
40,2/9/2022,69.08,Marble Heather,
41,2/10/2022,70.7,Seraphim,
42,2/11/2022,77.18,Seraphim,
43,2/12/2022,55.04,Spearmint,
44,2/13/2022,64.58,Sagebrush,
45,2/14/2022,71.42,Seraphim,
46,2/15/2022,71.06,Seraphim,
47,2/16/2022,69.08,Marble Heather,
48,2/17/2022,67.1,Marble Heather,
49,2/18/2022,53.6,Spearmint,
50,2/19/2022,64.94,Sagebrush,
51,2/20/2022,66.2,Marble Heather,
52,2/21/2022,83.48,Comfrey,
53,2/22/2022,69.08,Marble Heather,
54,2/23/2022,31.82,Shoal,
55,2/24/2022,29.12,Shoal,
56,2/25/2022,37.4,Shoal,
57,2/26/2022,38.48,Shoal,
58,2/27/2022,57.2,Spearmint,
59,2/28/2022,66.02,Marble Heather,
60,3/1/2022,74.3,Seraphim,
61,3/2/2022,77.9,Seraphim,
62,3/3/2022,78.62,Comfrey,
63,3/4/2022,72.32,Seraphim,
64,3/5/2022,79.16,Comfrey,
65,3/6/2022,78.8,Comfrey,
66,3/7/2022,50.72,Teal,
67,3/8/2022,46.76,Teal,
68,3/9/2022,58.64,Spearmint,
69,3/10/2022,67.28,Marble Heather,
70,3/11/2022,40.46,Teal,
71,3/12/2022,57.2,Spearmint,
72,3/13/2022,64.94,Sagebrush,
73,3/14/2022,77.54,Seraphim,
74,3/15/2022,71.96,Seraphim,
75,3/16/2022,79.88,Comfrey,
76,3/17/2022,75.74,Seraphim,
77,3/18/2022,68,Marble Heather,
78,3/19/2022,76.28,Seraphim,
79,3/20/2022,79.7,Comfrey,
80,3/21/2022,74.12,Seraphim,
81,3/22/2022,55.94,Spearmint,
82,3/23/2022,63.14,Sagebrush,
83,3/24/2022,67.64,Marble Heather,
84,3/25/2022,80.78,Comfrey,
85,3/26/2022,85.28,Comfrey,
86,3/27/2022,93.02,Urchin,
87,3/28/2022,83.84,Comfrey,
88,3/29/2022,78.08,Comfrey,
89,3/30/2022,72.68,Seraphim,
90,3/31/2022,68.9,Marble Heather,
91,4/1/2022,75.02,Seraphim,
92,4/2/2022,75.92,Seraphim,
93,4/3/2022,83.3,Comfrey,
94,4/4/2022,78.62,Comfrey,
95,4/5/2022,93.56,Urchin,
96,4/6/2022,76.82,Seraphim,
97,4/7/2022,68.9,Marble Heather,
98,4/8/2022,68,Marble Heather,
99,4/9/2022,86.54,Urchin,
100,4/10/2022,82.04,Comfrey,
101,4/11/2022,88.34,Urchin,
102,4/12/2022,81.68,Comfrey,
103,4/13/2022,78.62,Comfrey,
104,4/14/2022,75.2,Seraphim,
105,4/15/2022,83.66,Comfrey,
106,4/16/2022,80.6,Comfrey,
107,4/17/2022,77.54,Seraphim,
108,4/18/2022,73.04,Seraphim,
109,4/19/2022,74.12,Seraphim,
110,4/20/2022,90.14,Urchin,
111,4/21/2022,85.1,Comfrey,
112,4/22/2022,84.74,Comfrey,
113,4/23/2022,82.22,Comfrey,
114,4/24/2022,81.68,Comfrey,
115,4/25/2022,67.1,Marble Heather,
116,4/26/2022,73.76,Seraphim,
117,4/27/2022,76.1,Seraphim,
118,4/28/2022,81.32,Comfrey,
119,4/29/2022,80.6,Comfrey,
120,4/30/2022,82.22,Comfrey,
121,5/1/2022,83.3,Comfrey,
122,5/2/2022,84.56,Comfrey,
123,5/3/2022,76.64,Seraphim,
124,5/4/2022,85.46,Comfrey,
125,5/5/2022,78.98,Comfrey,
126,5/6/2022,85.64,Comfrey,
127,5/7/2022,88.88,Urchin,
128,5/8/2022,92.84,Urchin,
129,5/9/2022,91.94,Urchin,
130,5/10/2022,89.96,Urchin,
131,5/11/2022,89.42,Urchin,
132,5/12/2022,91.4,Urchin,
133,5/13/2022,92.66,Urchin,
134,5/14/2022,93.74,Urchin,
135,5/15/2022,96.62,Indigo heather,
136,5/16/2022,90.86,Urchin,
137,5/17/2022,94.46,Indigo heather,
138,5/18/2022,95.36,Indigo heather,
139,5/19/2022,94.46,Indigo heather,
140,5/20/2022,93.56,Urchin,
141,5/21/2022,89.78,Urchin,
142,5/22/2022,72.68,Seraphim,
143,5/23/2022,78.8,Comfrey,
144,5/24/2022,75.02,Seraphim,
145,5/25/2022,72.32,Seraphim,
146,5/26/2022,87.98,Urchin,
147,5/27/2022,91.58,Urchin,
148,5/28/2022,93.2,Urchin,
149,5/29/2022,93.2,Urchin,
150,5/30/2022,91.58,Urchin,
151,5/31/2022,94.28,Indigo heather,
152,6/1/2022,90.14,Urchin,
153,6/2/2022,83.84,Comfrey,
154,6/3/2022,81.32,Comfrey,
155,6/4/2022,87.26,Urchin,
156,6/5/2022,91.58,Urchin,
157,6/6/2022,94.64,Indigo heather,
158,6/7/2022,93.2,Urchin,
159,6/8/2022,89.24,Urchin,
160,6/9/2022,93.74,Urchin,
161,6/10/2022,99.14,Indigo heather,
162,6/11/2022,103.46,Asphalt heather,
163,6/12/2022,103.64,Asphalt heather,
164,6/13/2022,98.96,Indigo heather,
165,6/14/2022,96.26,Indigo heather,
166,6/15/2022,96.62,Indigo heather,
167,6/16/2022,98.42,Indigo heather,
168,6/17/2022,98.24,Indigo heather,
169,6/18/2022,97.52,Indigo heather,
170,6/19/2022,98.42,Indigo heather,
171,6/20/2022,100.22,Indigo heather,
172,6/21/2022,99.32,Indigo heather,
173,6/22/2022,98.6,Indigo heather,
174,6/23/2022,100.94,Indigo heather,
175,6/24/2022,102.56,Asphalt heather,
176,6/25/2022,100.94,Indigo heather,
177,6/26/2022,100.94,Indigo heather,
178,6/27/2022,93.56,Urchin,
179,6/28/2022,91.04,Urchin,
180,6/29/2022,93.56,Urchin,
181,6/30/2022,98.42,Indigo heather,
182,7/1/2022,95.36,Indigo heather,
183,7/2/2022,98.96,Indigo heather,
184,7/3/2022,100.4,Indigo heather,
185,7/4/2022,99.32,Indigo heather,
186,7/5/2022,101.12,Asphalt heather,
187,7/6/2022,102.92,Asphalt heather,
188,7/7/2022,102.02,Asphalt heather,
189,7/8/2022,104.9,Asphalt heather,
190,7/9/2022,105.44,Asphalt heather,
191,7/10/2022,102.74,Asphalt heather,
192,7/11/2022,101.66,Asphalt heather,
193,7/12/2022,102.74,Asphalt heather,
194,7/13/2022,104.54,Asphalt heather,
195,7/14/2022,97.88,Indigo heather,
196,7/15/2022,98.24,Indigo heather,
197,7/16/2022,98.96,Indigo heather,
198,7/17/2022,104.36,Asphalt heather,
199,7/18/2022,108.68,Asphalt heather,
200,7/19/2022,108.14,Asphalt heather,
201,7/20/2022,108.14,Asphalt heather,
202,7/21/2022,101.48,Asphalt heather,
203,7/22/2022,100.04,Indigo heather,
204,7/23/2022,100.4,Indigo heather,
205,7/24/2022,102.02,Asphalt heather,
